,name,country_id,Aces,Aces match,Aces game,DF,DF match,DF game
423,Novak Djokovic,SRB,6069,5.46,0.436,2566,2.31,0.184
459,Rafael Nadal,ESP,3716,3.09,0.259,1935,1.61,0.135
481,Roger Federer,SUI,11380,7.83,0.608,2747,1.89,0.147
