,name,country_id,1st Serve %,1st serve won %,2nd serve won %,BP Faced per Match,BP saved %
423,Novak Djokovic,SRB,64.90%,73.60%,55.41%,5.15,65.33%
459,Rafael Nadal,ESP,68.21%,72.15%,57.43%,5.03,66.42%
481,Roger Federer,SUI,62.12%,77.42%,57.02%,4.4,67.30%
