,name,country_id,Return 1st won %,Return 2nd won %,Return won %,BP per Match,BP won %
418,Novak Djokovic,SRB,33.77%,55.16%,42.20%,8.83,44.39%
453,Rafael Nadal,ESP,34.24%,55.28%,42.40%,8.78,44.98%
474,Roger Federer,SUI,32.37%,50.66%,39.57%,8.14,41.16%
