,name,Record Holder 1,Country 1,Detail 1,value,Record Holder 2,Country 2,Detail 2,Record Holder 3,Country 3,Detail 3
1129,Longest Career First Indoor Elo Top 10 to Last Indoor Elo Top 10,Roger Federer,SUI,26-02-2001 - 18-04-2021,20 years 1 mon 20 days,,,,,,
1132,Indoor Elo Rating Difference Between No. 1 and No. 2,Roger Federer,SUI,06-08-2012,268,,,,,,
1133,Indoor Elo Rating Pct. Difference Between No. 1 and No. 2,Roger Federer,SUI,23-07-2012,12.2%,,,,,,
1134,Most Head-to-Head Matches Won,Novak Djokovic,SRB,vs R. Nadal,30,,,,,,
1135,Most Grand Slam Head-to-Head Matches Won,Novak Djokovic,SRB,vs R. Federer,11,,,,,,
1136,Most Tour Finals Head-to-Head Matches Won,Novak Djokovic,SRB,vs T. Berdych,5,,,,,,
1139,Most Masters Head-to-Head Matches Won,Novak Djokovic,SRB,vs R. Nadal,16,,,,,,
1141,"Most Big Tournaments Head-to-Head Matches Won (Grand Slam, All Tour Finals, Masters, Olympics)",Novak Djokovic,SRB,vs R. Nadal,26,Rafael Nadal,ESP,vs N. Djokovic,,,
1146,Most Best of 3 Head-to-Head Matches Won,Novak Djokovic,SRB,vs R. Nadal,23,,,,,,
1147,Most Best of 5 Head-to-Head Matches Won,Rafael Nadal,ESP,vs R. Federer,12,,,,,,
1148,Most Hard Head-to-Head Matches Won,Novak Djokovic,SRB,vs T. Berdych,21,,,,,,
1149,Most Clay Head-to-Head Matches Won,Rafael Nadal,ESP,vs D. Ferrer,20,,,,,,
1150,Most Grass Head-to-Head Matches Won,Roger Federer,SUI,vs M. Youzhny,7,,,,,,
1152,Most Outdoor Head-to-Head Matches Won,Novak Djokovic,SRB,vs R. Nadal,26,Rafael Nadal,ESP,vs N. Djokovic,,,
1155,Greatest Grand Slam Head-to-Head Matches Winning Pct.,Roger Federer,SUI,8-0 vs A. Roddick,100.00%,Roger Federer,SUI,8-0 vs L. Hewitt,,,
1156,Greatest Tour Finals Head-to-Head Matches Winning Pct.,Novak Djokovic,SRB,5-0 vs T. Berdych,100.00%,,,,,,
1158,Greatest Masters Head-to-Head Matches Winning Pct.,Novak Djokovic,SRB,10-0 vs S. Wawrinka,100.00%,Roger Federer,SUI,10-0 vs D. Ferrer,,,
1159,"Greatest Big Tournaments Head-to-Head Matches Winning Pct. (Grand Slam, All Tour Finals, Masters, Olympics)",Roger Federer,SUI,14-0 vs D. Ferrer,100.00%,,,,,,
1162,"Greatest Small Tournaments Head-to-Head Matches Winning Pct. (ATP 500/CS, ATP 250/WS)",Roger Federer,SUI,13-0 vs J. Nieminen,100.00%,,,,,,
1164,Greatest Best of 3 Head-to-Head Matches Winning Pct.,Roger Federer,SUI,16-0 vs D. Ferrer,100.00%,,,,,,
1166,Greatest Hard Head-to-Head Matches Winning Pct.,Novak Djokovic,SRB,21-0 vs T. Berdych,100.00%,,,,,,
1168,Greatest Grass Head-to-Head Matches Winning Pct.,Roger Federer,SUI,7-0 vs M. Youzhny,100.00%,,,,,,
1170,Greatest Outdoor Head-to-Head Matches Winning Pct.,Roger Federer,SUI,16-0 vs M. Youzhny,100.00%,,,,,,
1173,Most Grand Slam Head-to-Head Finals Won,Rafael Nadal,ESP,vs R. Federer,6,,,,,,
1176,Most Masters Head-to-Head Finals Won,Rafael Nadal,ESP,vs R. Federer,7,Novak Djokovic,SRB,vs R. Nadal,Rafael Nadal,ESP,vs N. Djokovic
1177,"Most Big Tournaments Head-to-Head Finals Won (Grand Slam, All Tour Finals, Masters, Olympics)",Rafael Nadal,ESP,vs R. Federer,13,,,,,,
1181,Most Best of 3 Head-to-Head Finals Won,Novak Djokovic,SRB,vs R. Nadal,11,,,,,,
1182,Most Best of 5 Head-to-Head Finals Won,Rafael Nadal,ESP,vs R. Federer,8,,,,,,
1183,Most Hard Head-to-Head Finals Won,Novak Djokovic,SRB,vs R. Nadal,10,,,,,,
1184,Most Clay Head-to-Head Finals Won,Rafael Nadal,ESP,vs R. Federer,11,,,,,,
1187,Most Outdoor Head-to-Head Finals Won,Rafael Nadal,ESP,vs R. Federer,14,Novak Djokovic,SRB,vs R. Nadal,,,
1189,Greatest Head-to-Head Finals Winning Pct.,Rafael Nadal,ESP,8-0 vs D. Ferrer,100.00%,,,,,,
1190,Greatest Grand Slam Head-to-Head Finals Winning Pct.,Roger Federer,SUI,4-0 vs A. Roddick,100.00%,,,,,,
