id,name,recordHolders_0_name,recordHolders_0_country_name,recordHolders_0_country_id,recordHolders_0_active,recordHolders_0_detail,value,recordHolders_1_name,recordHolders_1_country_name,recordHolders_1_country_id,recordHolders_1_active,recordHolders_1_detail,recordHolders_2_name,recordHolders_2_country_name,recordHolders_2_country_id,recordHolders_2_active,recordHolders_2_detail,goatPoints,recordHolders_3_name,recordHolders_3_country_name,recordHolders_3_country_id,recordHolders_3_active,recordHolders_3_detail,recordHolders_4_name,recordHolders_4_country_name,recordHolders_4_country_id,recordHolders_4_active,recordHolders_4_detail,recordHolders_5_name,recordHolders_5_country_name,recordHolders_5_country_id,recordHolders_5_active,recordHolders_5_detail,recordHolders_6_name,recordHolders_6_country_name,recordHolders_6_country_id,recordHolders_6_active,recordHolders_6_detail,recordHolders_7_name,recordHolders_7_country_name,recordHolders_7_country_id,recordHolders_7_active,recordHolders_7_detail,recordHolders_8_name,recordHolders_8_country_name,recordHolders_8_country_id,recordHolders_8_active,recordHolders_8_detail,recordHolders_9_name,recordHolders_9_country_name,recordHolders_9_country_id,recordHolders_9_active,recordHolders_9_detail,recordHolders_10_name,recordHolders_10_country_name,recordHolders_10_country_id,recordHolders_10_active,recordHolders_10_detail,recordHolders_11_name,recordHolders_11_country_name,recordHolders_11_country_id,recordHolders_11_active,recordHolders_11_detail,recordHolders_12_name,recordHolders_12_country_name,recordHolders_12_country_id,recordHolders_12_active,recordHolders_12_detail,recordHolders_13_name,recordHolders_13_country_name,recordHolders_13_country_id,recordHolders_13_active,recordHolders_13_detail,recordHolders_14_name,recordHolders_14_country_name,recordHolders_14_country_id,recordHolders_14_active,recordHolders_14_detail,recordHolders_15_name,recordHolders_15_country_name,recordHolders_15_country_id,recordHolders_15_active,recordHolders_15_detail,recordHolders_16_name,recordHolders_16_country_name,recordHolders_16_country_id,recordHolders_16_active,recordHolders_16_detail,recordHolders_17_name,recordHolders_17_country_name,recordHolders_17_country_id,recordHolders_17_active,recordHolders_17_detail,recordHolders_18_name,recordHolders_18_country_name,recordHolders_18_country_id,recordHolders_18_active,recordHolders_18_detail,recordHolders_19_name,recordHolders_19_country_name,recordHolders_19_country_id,recordHolders_19_active,recordHolders_19_detail,recordHolders_20_name,recordHolders_20_country_name,recordHolders_20_country_id,recordHolders_20_active,recordHolders_20_detail,recordHolders_21_name,recordHolders_21_country_name,recordHolders_21_country_id,recordHolders_21_active,recordHolders_21_detail,recordHolders_22_name,recordHolders_22_country_name,recordHolders_22_country_id,recordHolders_22_active,recordHolders_22_detail,recordHolders_23_name,recordHolders_23_country_name,recordHolders_23_country_id,recordHolders_23_active,recordHolders_23_detail,recordHolders_24_name,recordHolders_24_country_name,recordHolders_24_country_id,recordHolders_24_active,recordHolders_24_detail,recordHolders_25_name,recordHolders_25_country_name,recordHolders_25_country_id,recordHolders_25_active,recordHolders_25_detail,recordHolders_26_name,recordHolders_26_country_name,recordHolders_26_country_id,recordHolders_26_active,recordHolders_26_detail,recordHolders_27_name,recordHolders_27_country_name,recordHolders_27_country_id,recordHolders_27_active,recordHolders_27_detail,recordHolders_28_name,recordHolders_28_country_name,recordHolders_28_country_id,recordHolders_28_active,recordHolders_28_detail,recordHolders_29_name,recordHolders_29_country_name,recordHolders_29_country_id,recordHolders_29_active,recordHolders_29_detail
TournamentATP500WinningPct,Greatest Winning Pct. at Single ATP 500/CS Tournament,Novak Djokovic,Serbia,SRB,true,Beijing 29-0/29,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TournamentATP250WinningPct,Greatest Winning Pct. at Single ATP 250/WS Tournament,Jimmy Connors,United States,USA,false,Birmingham 21-0/21,100.00%,Thomas Muster,Austria,AUT,false,Acapulco 20-0/20,John McEnroe,United States,USA,false,Sydney Indoor 20-0/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PeakWinningPct,Greatest Peak Winning Pct.,Jimmy Connors,United States,USA,false,19-02-1980 696-109/805,86.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrandSlamPeakWinningPct,Greatest Grand Slam Peak Winning Pct.,Rod Laver,Australia,AUS,false,07-03-1971 47-4/51,92.16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TourFinalsPeakWinningPct,Greatest Tour Finals Peak Winning Pct.,Ilie Nastase,Romania,ROU,false,28-11-1972 10-0/10,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AltFinalsPeakWinningPct,Greatest Alternative Tour Finals Peak Winning Pct.,Pete Sampras,United States,USA,false,08-12-1992 6-0/6,100.00%,John McEnroe,United States,USA,false,28-04-1980 5-0/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MastersPeakWinningPct,Greatest Masters Peak Winning Pct.,Jimmy Connors,United States,USA,false,18-08-1980 145-18/163,88.96%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OlympicsPeakWinningPct,Greatest Olympics Peak Winning Pct.,Rafael Nadal,Spain,ESP,true,08-08-2016 10-0/10,100.00%,Stefan Edberg,Sweden,SWE,false,20-09-1988 9-0/9,Marc Rosset,Switzerland,SUI,false,22-07-1996 8-0/8,,Miloslav Mecir,Slovakia,SVK,false,20-09-1988 6-0/6,Andre Agassi,United States,USA,false,22-07-1996 6-0/6,Yevgeny Kafelnikov,Russian Federation,RUS,false,18-09-2000 6-0/6,Tim Mayotte,United States,USA,false,20-09-1988 5-0/5,Jordi Arrese,Spain,ESP,false,27-07-1992 5-0/5,Tommy Haas,Germany,GER,false,18-09-2000 5-0/5,Mardy Fish,United States,USA,false,16-08-2004 5-0/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATP500PeakWinningPct,Greatest ATP 500/CS Peak Winning Pct.,Rafael Nadal,Spain,ESP,true,30-09-2013 94-10/104,90.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATP250PeakWinningPct,Greatest ATP 250/WS Peak Winning Pct.,Ivan Lendl,United States,USA,false,11-06-1990 264-33/297,88.89%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DavisCupPeakWinningPct,Greatest Davis Cup Peak Winning Pct.,Marcos Baghdatis,Cyprus,CYP,false,05-04-2013 23-0/23,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BestOf3PeakWinningPct,Greatest Best of 3 Peak Winning Pct.,Jimmy Connors,United States,USA,false,19-02-1980 555-78/633,87.68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BestOf5PeakWinningPct,Greatest Best of 5 Peak Winning Pct.,Rod Laver,Australia,AUS,false,13-05-1970 95-8/103,92.23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HardPeakWinningPct,Greatest Hard Peak Winning Pct.,Ivan Lendl,United States,USA,false,16-03-1990 291-38/329,88.45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClayPeakWinningPct,Greatest Clay Peak Winning Pct.,Rafael Nadal,Spain,ESP,true,13-04-2014 300-21/321,93.46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrassPeakWinningPct,Greatest Grass Peak Winning Pct.,Rod Laver,Australia,AUS,false,08-06-1970 58-5/63,92.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarpetPeakWinningPct,Greatest Carpet Peak Winning Pct.,Jimmy Connors,United States,USA,false,24-01-1977 133-13/146,91.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OutdoorPeakWinningPct,Greatest Outdoor Peak Winning Pct.,Rafael Nadal,Spain,ESP,true,13-01-2014 614-98/712,86.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IndoorPeakWinningPct,Greatest Indoor Peak Winning Pct.,John McEnroe,United States,USA,false,01-04-1985 309-32/341,90.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PeakWinningPctVsNo1,Greatest Peak Winning Pct. Vs No. 1,Rafael Nadal,Spain,ESP,true,15-04-2007 7-3/10,70.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PeakWinningPctVsTop5,Greatest Peak Winning Pct. Vs Top 5,Rod Laver,Australia,AUS,false,09-03-1972 56-19/75,74.67%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PeakWinningPctVsTop10,Greatest Peak Winning Pct. Vs Top 10,Rod Laver,Australia,AUS,false,21-06-1971 103-30/133,77.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
