,name,country_id,Point time,Game time,Set time,Match Time,Match Time Hard,Match Time Clay,Match Time Grass
418,Novak Djokovic,SRB,42.21,4.509,42.5,1:51,1:46,1:58,2:05
453,Rafael Nadal,ESP,45.46,4.8,44.79,1:53,1:53,1:50,2:13
474,Roger Federer,SUI,36.99,3.903,37.74,1:39,1:36,1:45,1:42
