rank,name,country_name,country_id,active,won,lost,played,wonLostPct
233,Kenneth Carlsen,Denmark,DEN,false,31,37,68,45.59%
234,Syd Ball,Australia,AUS,false,62,75,137,45.26%
235,Anand Amritraj,India,IND,false,25,31,56,44.64%
236,Ray Keldie,Australia,AUS,false,34,43,77,44.16%
237,Paul Kronk,Australia,AUS,false,26,33,59,44.07%
238,Jarkko Nieminen,Finland,FIN,false,25,32,57,43.86%
238,Peter Mcnamara,Australia,AUS,false,25,32,57,43.86%
240,Jim Mcmanus,United States,USA,false,24,31,55,43.64%
241,Yen Hsun Lu,"Taiwan, Province of China",TPE,true,28,37,65,43.08%
242,Cliff Letcher,Australia,AUS,false,36,49,85,42.35%
243,Jean Baptiste Chanfreau,France,FRA,false,22,30,52,42.31%
244,Paul Henri Mathieu,France,FRA,false,22,31,53,41.51%
245,Richard Lewis,United Kingdom,GBR,false,31,44,75,41.33%
246,Justin Gimelstob,United States,USA,false,24,35,59,40.68%
247,Simon Youl,Australia,AUS,false,23,34,57,40.35%
248,Vincent Spadea,United States,USA,false,26,39,65,40.00%
248,Robin Haase,Netherlands,NED,true,22,33,55,40.00%
250,Patricio Cornejo,Chile,CHI,false,20,33,53,37.74%
251,John Marks,Australia,AUS,false,18,32,50,36.00%
252,Jonathan Smith,United Kingdom,GBR,false,19,36,55,34.55%
253,Chris Kachel,Australia,AUS,false,17,36,53,32.08%
254,John Feaver,United Kingdom,GBR,false,20,45,65,30.77%
254,Sashi Menon,India,IND,false,16,36,52,30.77%
